frame_number,time(min),time(sec),time(subsec),d_1(m),s_1(m),d_2(m),s_2(m)
136,1,34,17,54.5,2.5,NN,NN,
137,1,34,18,20.5,2.6,NN,NN,
138,1,34,19,18.4,2.6,NN,NN,
139,1,34,20,17.4,2.6,NN,NN,
140,1,34,21,19.3,2.4,NN,NN,
141,1,34,22,17.6,2.5,NN,NN,
142,1,34,23,16.2,2.5,NN,NN,
143,1,34,24,17.7,2.6,NN,NN,
144,1,34,25,17.7,2.6,NN,NN,
145,1,34,26,30.4,2.7,NN,NN,
146,1,34,27,26.2,2.6,NN,NN,
147,1,34,28,24.7,2.7,NN,NN,
148,1,34,29,24.7,2.7,NN,NN,
149,1,35,0,26.1,2.7,NN,NN,
150,1,35,1,26.1,2.6,NN,NN,
151,1,35,2,22.9,2.6,NN,NN,
152,1,35,3,30.2,2.7,NN,NN,
153,1,35,4,44.3,2.7,NN,NN,
154,1,35,5,39.8,2.7,NN,NN,
155,1,35,6,39.8,2.7,NN,NN,
156,1,35,7,50.4,2.7,NN,NN,
157,1,35,8,68.8,2.7,NN,NN,
158,1,35,9,24.7,2.8,NN,NN,
159,1,35,10,28.4,2.7,NN,NN,
160,1,35,11,58.4,2.7,NN,NN,
161,1,35,12,58.6,2.7,NN,NN,
162,1,35,13,59.1,2.7,NN,NN,
163,1,35,14,108.9,2.7,NN,NN,
164,1,35,15,34.2,2.9,NN,NN,
165,1,35,16,51.9,2.9,NN,NN,
166,1,35,17,-9.2,3.0,NN,NN,
167,1,35,18,-10.4,3.1,NN,NN,
168,1,35,19,34.5,3.0,NN,NN,
169,1,35,20,52.8,3.0,NN,NN,
170,1,32,21,47.8,3.0,0.3,50.9,
171,1,35,22,-10.2,3.0,NN,NN,
172,1,35,23,-10.1,3.0,0.3,45.5,
173,1,35,24,-10.7,3.0,0.3,50.9,
174,1,35,25,-11.0,3.0,NN,NN,
175,1,35,26,28.1,3.0,0.3,41.2,
176,1,35,27,-12.8,3.1,0.3,36.0,
177,1,35,28,-9.9,3.1,0.3,39.3,
178,1,35,29,NN,NN,0.3,39.3,
179,1,36,0,-10.4,3.0,0.3,36.0,
180,1,36,1,-10.1,3.0,0.3,41.2,
181,1,36,2,-10.2,3.0,NN,NN,
182,1,36,3,-9.9,3.0,NN,NN,
183,1,36,4,-11.5,3.0,NN,NN,
184,1,36,5,-12.2,3.0,0.4,43.3,
185,1,36,6,-10.8,3.0,NN,NN,
186,1,36,7,-12.1,3.0,0.4,45.5,
187,1,36,8,-12.0,3.0,NN,NN,
188,1,36,9,-11.0,3.0,NN,NN,
189,1,36,10,-11.3,3.0,NN,NN,
190,1,36,11,-10.5,3.0,NN,NN,
191,1,36,12,-11.7,2.9,NN,NN,
192,1,36,13,-9.9,3.0,NN,NN,
193,1,36,14,-11.3,3.0,NN,NN,
194,1,36,15,-11.5,2.9,NN,NN,
195,1,36,16,-10.0,,2.9,0.5,37.6,
196,1,36,17,-9.2,2.8,0.5,36.0,
197,1,36,18,50.6,2.6,0.5,37.6,
198,1,36,19,149.5,2.6,0.5,37.6,
199,1,36,20,244.6,2.6,0.5,39.3,
200,1,36,21,-864.4,2.7,0.5,39.3,
201,1,36,22,57.9,2.5,0.5,41.2,
202,1,36,23,24.5,2.5,0.4,48.1,
203,1,36,24,NN,NN,0.4,33.3,
204,1,36,25,NN,NN,0.4,39.3,
205,1,36,26,49.9,2.4,0.4,37.6,
206,1,36,27,37.9,2.6,0.4,39.3,
207,1,36,28,34.2,2.7,0.4,33.3,
208,1,36,29,30.8,2.7,0.4,36.0,
209,1,37,0,100.0,2.6,0.4,30.9,
210,1,37,1,46.9,2.6,0.4,32.0,
211,1,37,2,37.1,2.6,0.4,36.0,
212,1,37,3,47.1,2.6,0.4,36.0,
213,1,37,4,26.1,2.6,0.4,33.3,
214,1,37,5,25.9,2.7,0.4,34.6,
215,1,37,6,24.2,2.6,0.4,34.6,
216,1,37,7,26.2,2.6,0.4,30.9,
217,1,37,8,19.1,2.5,0.5,33.3,
218,1,37,9,19.9,2.5,0.5,28.8,
219,1,37,10,17.9,2.5,0.5,27.9,
220,1,37,11,17.6,2.4,0.5,29.8,
221,1,37,12,36.0,2.4,0.6,29.8,
222,1,37,13,44.4,2.4,0.6,25.4,
223,1,37,14,-8.3,2.5,0.6,27.0,
224,1,37,15,-7.9,2.3,0.7,25.4,
225,1,37,16,-4.7,1.6,0.7,24.7,
226,1,37,17,12.3,2.2,0.7,25.4,
227,1,37,18,34.1,2.2,0.7,24.0,
228,1,37,19,88.8,2.2,0.7,28.8,
229,1,37,20,-8.2,2.2,0.8,23.4,
230,1,37,21,-215.3,2.2,0.8,22.8,
231,1,37,22,-9.2,2.1,0.9,22.2,
232,1,37,23,-8.1,2.1,0.9,22.8,
233,1,37,24,-6.9,2.1,0.9,21.1,
234,1,37,25,-8.0,2.1,0.9,20.6,
235,1,37,26,-7.3,2.1,0.9,19.7,
236,1,37,27,-696.4,2.2,0.9,19.2,
237,1,37,28,-215.3,2.2,0.9,21.1,
238,1,37,29,557.8,2.2,0.8,19.2,
239,1,38,0,-127.2,2.1,0.8,22.2,
240,1,38,1,-715.1,2.1,0.8,18.8,
241,1,38,2,-696.4,2.1,0.8,19.2,
242,1,38,3,-696.4,2.2,0.9,18.8,
243,1,38,4,200.9,2.2,0.8,17.0,
244,1,38,5,69.7,2.1,0.8,17.0,
245,1,38,6,87.7,2.1,0.8,16.3,
246,1,38,7,122.3,2.1,0.8,16.0,
247,1,38,8,56.6,2.0,0.9,14.9,
248,1,38,9,70.1,2.0,0.9,14.7,
249,1,38,10,88.8,2.0,0.9,14.2,
250,1,38,11,41.4,2.1,0.9,14.2,
251,1,38,12,119.4,2.0,1.0,14.4,
252,1,38,13,12.6,2.6,1.0,13.3,
253,1,38,14,11.4,2.7,1.0,13.5,
254,1,38,15,12.9,2.9,1.1,12.5,
255,1,38,16,12.6,3.1,1.1,12.0,
256,1,38,17,12.7,3.2,1.3,12.0,
257,1,38,18,8.9,3.2,1.3,10.8,
258,1,38,19,7.7,3.5,1.3,11.2,
259,1,38,20,5.6,3.7,1.4,11.2,
260,1,38,21,5.3,3.7,1.4,11.7,
261,1,38,22,4.8,3.7,1.5,12.0,
262,1,38,23,3.8,3.8,1.5,10.7,
263,1,38,24,3.5,4.1,1.5,10.7,
264,1,38,25,2.7,4.3,1.5,10.4,
265,1,38,26,2.6,4.3,1.5,10.1,
